"ID","country","Q2","Q4","Q5","Q6","Q6N","Q7","Q23","Q30","Q46a","Q46b","Q46c"
"8857","3","1","2","3","2","1","1","1","3","1","1","1"
"8858","3","2","2","4","2","1","3","1","2","2","2","2"
"8859","3","1","3","2","2","1","1","1","3","1","2","2"
"8860","3","2","1","2","4","1","8","97","3","1","2","2"
"8861","3","1","2","2","1","3","1","97","3","2","1","1"
"8862","3","1","3","3","2","2","1","5","1","1","2","2"
"8863","3","1","2","4","2","2","1","1","1","1","1","1"
"8864","3","1","2","3","3","3","3","97","3","2","2","1"
"8865","3","1","1","2","1","1","1","4","1","2","2","1"
"8866","3","1","1","2","1","2","1","4","2","2","2","1"
"8867","3","1","2","2","2","1","1","1","1","2","1","1"
"8868","3","1","2","3","2","1","1","1","3","2","2","1"
"8869","3","1","2","2","2","1","1","4","3","2","2","1"
"8870","3","1","2","2","2","1","1","1","1","1","1","1"
"8871","3","2","2","3","2","1","1","1","3","2","2","1"
"8872","3","1","2","2","2","1","1","1","1","2","2","1"
"8873","3","1","2","3","2","8","1","1","3","1","1","1"
"8874","3","1","1","2","2","1","1","4","1","2","2","1"
"8875","3","1","2","3","3","1","1","1","3","1","1","1"
"8876","3","1","2","3","2","1","1","1","3","2","1","1"
"8877","3","1","2","2","2","1","1","4","2","2","2","1"
"8878","3","1","2","3","2","1","1","1","3","2","2","1"
"8879","3","1","2","3","2","1","1","4","1","2","2","1"
"8880","3","1","2","3","2","1","1","4","3","1","2","1"
"8881","3","1","2","3","2","1","1","1","3","1","1","1"
"8882","3","1","2","2","2","1","1","1","3","2","1","1"
"8883","3","1","2","2","2","1","1","1","3","2","2","2"
"8884","3","1","2","3","2","1","1","1","1","2","2","1"
"8885","3","1","2","2","2","1","1","1","3","2","1","1"
"8886","3","1","2","2","2","1","1","1","3","2","2","1"
"8887","3","1","2","2","2","1","1","1","3","2","2","1"
"8888","3","2","2","3","3","1","1","1","3","2","2","1"
"8889","3","1","3","3","2","1","1","4","1","2","1","1"
"8890","3","1","4","3","2","3","1","4","1","1","2","1"
"8891","3","1","2","2","2","1","1","4","8","2","2","1"
"8892","3","2","3","2","3","1","1","1","8","8","8","1"
"8893","3","2","3","3","2","1","3","1","1","2","1","1"
"8894","3","1","3","3","3","1","8","1","1","1","1","1"
"8895","3","1","2","2","2","1","1","4","1","2","2","1"
"8896","3","1","2","2","2","1","1","4","1","1","1","1"
"8897","3","1","2","2","2","1","1","1","1","2","2","1"
"8898","3","2","3","2","2","1","1","1","1","2","1","1"
"8899","3","8","2","3","2","1","1","1","2","2","2","1"
"8900","3","1","1","2","3","1","1","1","2","1","1","1"
"8901","3","1","1","2","1","1","1","1","2","1","2","1"
"8902","3","1","3","3","3","1","1","1","2","1","2","1"
"8903","3","1","3","2","3","1","1","1","3","2","2","1"
"8904","3","1","2","2","2","1","1","4","3","2","8","1"
"8905","3","1","3","3","3","1","8","4","3","2","2","1"
"8906","3","1","4","2","3","1","1","1","3","2","8","1"
"8907","3","1","3","8","2","1","1","1","3","1","2","1"
"8908","3","1","3","8","3","1","1","4","3","8","8","1"
"8909","3","8","2","2","2","1","1","1","3","8","2","1"
"8910","3","1","3","8","3","1","1","1","3","8","8","1"
"8911","3","2","2","3","4","3","1","1","1","2","1","1"
"8912","3","1","2","2","1","1","1","1","1","2","2","1"
"8913","3","1","2","2","2","3","1","1","1","2","2","1"
"8914","3","1","2","2","3","1","1","1","1","2","2","1"
"8915","3","2","4","4","1","8","8","4","1","2","2","8"
"8916","3","1","2","2","2","1","1","1","3","2","2","1"
"8917","3","1","3","3","4","3","8","4","2","1","8","1"
"8918","3","1","3","2","2","1","1","1","1","2","2","1"
"8919","3","1","2","2","1","1","1","1","1","2","2","1"
"8920","3","1","2","2","2","1","1","1","3","1","9","9"
"8921","3","1","2","2","2","1","1","4","1","2","1","1"
"8922","3","1","3","3","4","2","1","1","3","2","2","1"
"8923","3","1","2","2","2","1","1","98","1","1","1","1"
"8924","3","1","2","2","2","1","1","1","1","1","1","1"
"8925","3","2","3","3","3","1","1","2","1","1","1","1"
"8926","3","1","2","2","2","1","1","4","1","2","2","1"
"8927","3","1","3","3","4","3","1","1","3","1","1","1"
"8928","3","1","2","2","2","1","1","1","1","1","2","1"
"8929","3","1","2","2","2","1","1","1","1","1","1","1"
"8930","3","2","3","3","3","3","2","1","2","2","2","1"
"8931","3","1","2","2","2","1","1","1","1","1","1","1"
"8932","3","1","2","8","2","1","1","98","2","1","2","1"
"8933","3","1","3","8","2","1","1","1","2","2","2","2"
"8934","3","1","2","2","1","1","1","2","2","2","2","2"
"8935","3","1","2","2","2","1","1","1","2","2","2","2"
"8936","3","1","2","2","2","1","1","1","2","1","2","1"
"8937","3","1","2","2","1","1","1","1","2","1","2","1"
"8938","3","1","2","2","2","1","1","2","2","2","2","2"
"8939","3","1","3","2","3","1","1","1","2","8","2","1"
"8940","3","1","2","2","1","1","1","98","2","8","2","1"
"8941","3","1","2","2","2","1","1","4","2","2","2","2"
"8942","3","1","2","2","2","1","1","4","3","2","2","2"
"8943","3","1","3","2","3","1","3","4","2","1","2","8"
"8944","3","1","2","2","3","3","1","1","1","2","2","1"
"8945","3","1","3","3","2","1","1","1","1","2","1","1"
"8946","3","1","2","2","2","1","1","1","3","1","1","2"
"8947","3","1","2","2","3","3","1","1","1","2","1","1"
"8948","3","1","2","3","3","3","1","1","1","1","2","1"
"8949","3","1","2","2","1","1","1","1","1","1","1","2"
"8950","3","1","2","2","2","1","1","1","1","1","1","2"
"8951","3","1","1","2","2","1","1","1","3","2","1","1"
"8952","3","1","2","3","3","3","1","1","1","1","1","2"
"8953","3","1","2","2","2","3","1","1","1","1","2","1"
"8954","3","1","2","2","2","1","1","1","1","1","1","2"
"8955","3","1","2","2","2","3","1","1","3","1","2","1"
"8956","3","1","2","2","2","1","1","1","1","1","1","2"
"8957","3","1","2","2","2","1","1","1","1","1","2","1"
"8958","3","1","1","3","3","3","1","1","2","1","1","2"
