"ID","country","q3","Q10A","Q10B","Q24B","Q27A","Q27B","Q27C","Q27D","Q27E","Q27F","q56"
"383","19","3","1","3","2","2","1","1","2","1","1","1"
"384","19","2","2","2","1","1","1","1","2","1","1","1"
"385","19","2","2","3","2","1","1","1","2","2","1","1"
"386","19","2","2","2","1","2","1","1","2","1","2","1"
"387","19","2","2","3","2","2","1","2","1","1","1","1"
"388","19","1","1","1","1","2","1","1","1","1","1","2"
"389","19","2","2","9","1","2","1","2","1","2","1","2"
"390","19","4","1","4","2","2","1","2","1","1","2","1"
"391","19","3","1","1","1","2","1","1","1","1","2","1"
"392","19","3","1","1","1","1","1","2","1","1","2","1"
"393","19","2","4","8","1","2","2","1","2","1","1","2"
"394","19","2","2","1","1","2","1","1","1","1","2","2"
"395","19","2","2","3","1","2","2","1","2","2","2","1"
"396","19","1","1","4","2","2","1","2","1","1","2","1"
"397","19","3","1","3","1","2","1","2","8","1","2","1"
"398","19","3","1","4","1","2","1","2","1","1","8","1"
"399","19","2","1","3","1","2","1","2","2","2","1","1"
"400","19","4","4","3","2","2","2","1","2","2","1","2"
"401","19","2","4","4","2","1","1","1","2","2","1","2"
"402","19","2","2","2","2","2","1","2","2","1","2","2"
"403","19","1","1","1","1","8","1","2","1","1","8","1"
"404","19","1","4","2","2","1","1","1","1","2","1","1"
"405","19","4","1","2","2","2","1","1","2","1","1","1"
"406","19","3","1","3","2","1","1","1","1","1","1","3"
"407","19","4","3","3","2","2","2","2","1","2","2","1"
"408","19","2","1","1","1","2","2","2","1","1","2","2"
"409","19","1","1","2","1","2","1","1","2","1","2","2"
"410","19","2","1","2","2","1","1","2","1","2","1","2"
"411","19","2","1","2","1","1","1","1","1","1","1","1"
"412","19","3","1","3","1","2","1","1","1","2","2","1"
"413","19","2","1","3","1","1","1","2","2","2","1","3"
"414","19","4","1","2","2","2","1","1","2","2","1","2"
"415","19","2","1","3","1","2","1","2","1","1","2","1"
"416","19","4","2","4","1","2","2","2","2","2","2","2"
"417","19","3","1","2","2","1","2","1","2","1","1","2"
"418","19","4","3","2","2","1","1","1","1","1","1","1"
"419","19","3","1","4","2","1","1","1","1","1","1","2"
"420","19","2","1","3","1","2","1","2","1","1","2","2"
"421","19","9","2","8","1","2","1","8","2","1","8","2"
"422","19","3","2","3","1","2","1","2","1","1","1","1"
"423","19","2","2","2","1","1","1","2","1","1","1","1"
"424","19","4","1","2","1","2","1","2","1","1","2","2"
"425","19","4","3","3","2","1","2","1","2","1","1","2"
"426","19","4","4","4","2","1","1","1","2","2","1","1"
"427","19","3","1","2","1","2","1","2","1","1","2","2"
"428","19","2","2","2","1","2","1","2","1","1","2","2"
"429","19","8","1","3","2","1","2","1","2","1","1","1"
"430","19","2","2","9","1","2","1","2","1","1","2","2"
"431","19","3","3","3","2","1","1","1","2","2","1","1"
"432","19","2","2","2","1","1","2","1","2","1","1","2"
"433","19","2","1","3","1","2","1","2","2","1","1","2"
"434","19","3","2","9","1","1","1","1","1","2","1","1"
"435","19","3","1","2","1","2","1","2","2","1","2","2"
"436","19","4","3","2","1","1","1","1","2","1","1","2"
"437","19","2","1","2","1","2","1","2","1","2","2","1"
"438","19","4","1","1","2","2","1","1","1","1","8","1"
"439","19","2","1","1","1","2","1","1","1","1","2","1"
"440","19","2","1","3","2","2","1","2","2","1","2","2"
"441","19","3","1","2","1","1","1","1","1","1","1","1"
"442","19","3","1","4","2","1","1","2","1","1","1","2"
"443","19","3","2","3","1","1","1","1","8","1","1","2"
"444","19","2","1","3","1","2","1","2","1","1","2","2"
"445","19","2","1","3","1","2","1","2","1","1","2","1"
"446","19","2","1","1","8","2","1","1","1","1","2","3"
"447","19","3","2","4","2","1","1","2","2","1","1","1"
"448","19","2","1","3","2","1","1","1","2","1","1","1"
"449","19","4","1","4","2","1","2","1","1","1","1","3"
"450","19","2","2","2","1","2","1","2","1","1","1","1"
"451","19","3","1","4","2","2","1","2","1","2","2","1"
"452","19","4","1","1","2","1","1","1","2","1","1","1"
"453","19","2","3","3","2","2","1","1","2","1","1","2"
"454","19","4","1","8","2","2","1","2","1","1","1","1"
"455","19","1","2","1","1","2","1","2","2","1","2","1"
"456","19","3","1","3","2","2","1","2","1","1","2","1"
"457","19","2","1","2","2","2","2","1","1","1","2","1"
"458","19","4","3","1","1","1","1","2","2","1","2","2"
"459","19","1","2","4","1","2","1","2","1","1","2","1"
"460","19","3","2","3","1","2","1","2","1","2","2","2"
"461","19","2","3","2","2","1","2","1","1","1","1","1"
"462","19","1","9","9","1","1","1","1","1","1","1","1"
